City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Seydi,39.48,62.91,44.73,53,0,3.91,TM,2020-09-30 00:55:21
70,Ballina,-28.87,153.57,71.01,49,100,9.17,AU,2020-09-30 00:49:44
71,Hobyo,5.35,48.53,76.75,87,11,16.96,SO,2020-09-30 00:55:22
72,Tiksi,71.69,128.87,33.76,97,100,14.03,RU,2020-09-30 00:48:25
73,Port-Gentil,-0.72,8.78,76.78,78,99,10.56,GA,2020-09-30 00:55:22
74,Iqaluit,63.75,-68.51,28.4,74,40,10.29,CA,2020-09-30 00:49:31
75,Koumac,-20.57,164.28,74.7,57,0,18.32,NC,2020-09-30 00:55:23
76,Aban,56.67,96.06,29.79,95,8,5.82,RU,2020-09-30 00:55:23
77,Yafran,32.06,12.53,67.69,73,0,7.31,LY,2020-09-30 00:55:24
78,Carauari,-4.88,-66.9,73.89,97,100,2.86,BR,2020-09-30 00:55:24
79,Savinka,50.08,47.1,53.04,53,0,9.53,RU,2020-09-30 00:55:24
80,Tasiilaq,65.61,-37.64,32.0,92,96,3.36,GL,2020-09-30 00:48:50
81,Kieta,-6.22,155.63,84.99,67,92,5.57,PG,2020-09-30 00:55:24
82,Barrow,71.29,-156.79,33.8,80,90,10.29,US,2020-09-30 00:47:50
83,Safaga,26.73,33.94,84.2,42,0,9.17,EG,2020-09-30 00:55:25
84,Sistranda,63.73,8.83,55.4,87,100,9.17,NO,2020-09-30 00:55:25
85,Talnakh,69.49,88.4,32.0,96,2,13.42,RU,2020-09-30 00:49:44
86,Georgetown,5.41,100.34,80.6,94,20,3.36,MY,2020-09-30 00:46:16
87,Shalinskoye,55.72,93.76,27.84,97,0,3.51,RU,2020-09-30 00:55:26
88,Masterton,-40.96,175.66,55.0,58,7,5.01,NZ,2020-09-30 00:55:26
89,Namibe,-15.2,12.15,63.21,81,96,7.87,AO,2020-09-30 00:48:03
90,Bluff,-46.6,168.33,46.98,83,81,18.1,NZ,2020-09-30 00:48:32
91,Ola,59.58,151.28,45.16,79,100,3.58,RU,2020-09-30 00:55:27
92,Cidreira,-30.18,-50.21,63.41,83,13,21.18,BR,2020-09-30 00:45:21
93,Beira,-19.84,34.84,73.4,94,75,4.7,MZ,2020-09-30 00:49:16
94,Sorland,67.67,12.69,50.74,90,99,7.47,NO,2020-09-30 00:49:25
95,East London,-33.02,27.91,58.5,69,71,2.68,ZA,2020-09-30 00:46:48
96,Valley City,46.92,-98.0,60.8,41,1,14.99,US,2020-09-30 00:55:28
97,Gandu,-13.74,-39.49,66.78,96,16,0.45,BR,2020-09-30 00:52:04
98,Hualmay,-11.1,-77.61,61.52,84,100,8.75,PE,2020-09-30 00:55:28
99,Khatanga,71.97,102.5,30.78,99,100,12.44,RU,2020-09-30 00:48:23
100,Longyearbyen,78.22,15.64,44.6,75,75,19.46,SJ,2020-09-30 00:47:48
101,Katsuura,35.13,140.3,73.99,53,0,1.99,JP,2020-09-30 00:47:39
102,Norman Wells,65.28,-126.83,44.6,65,75,9.17,CA,2020-09-30 00:47:54
103,Arraial Do Cabo,-22.97,-42.03,75.2,88,75,5.82,BR,2020-09-30 00:48:19
104,Sept-Iles,50.2,-66.38,59.0,87,90,5.82,CA,2020-09-30 00:49:37
105,Camabatela,-8.19,15.38,62.1,94,94,2.8,AO,2020-09-30 00:55:30
106,Varberg,57.11,12.25,53.01,92,94,7.0,SE,2020-09-30 00:55:30
107,Saint-Philippe,-21.36,55.77,69.8,72,38,6.93,RE,2020-09-30 00:48:00
108,Morehead,37.27,-87.18,57.2,71,1,5.86,US,2020-09-30 00:55:31
109,Mar Del Plata,-38.0,-57.56,64.0,63,100,8.05,AR,2020-09-30 00:45:44
110,Corn Island,12.17,-83.04,83.98,78,71,7.09,NI,2020-09-30 00:55:31
111,Caravelas,-17.71,-39.25,74.08,85,0,7.0,BR,2020-09-30 00:52:08
112,Mariinsk,56.21,87.75,29.79,96,46,2.98,RU,2020-09-30 00:55:31
113,Esperance,-33.87,121.9,59.0,100,0,11.41,AU,2020-09-30 00:49:19
114,Guerrero Negro,27.98,-114.06,84.69,39,0,12.5,MX,2020-09-30 00:48:33
115,Beringovskiy,63.05,179.32,44.28,65,55,2.71,RU,2020-09-30 00:48:49
116,Dikson,73.51,80.55,35.42,83,100,16.17,RU,2020-09-30 00:47:56
117,Bubaque,11.28,-15.83,81.9,78,13,6.76,GW,2020-09-30 00:47:55
118,Makakilo City,21.35,-158.09,89.6,62,1,10.29,US,2020-09-30 00:49:56
119,Saldanha,-33.01,17.94,50.0,81,4,6.93,ZA,2020-09-30 00:48:19
120,Dalby,-27.18,151.27,66.2,39,40,14.99,AU,2020-09-30 00:55:33
121,Korla,41.76,86.15,48.99,89,0,4.81,CN,2020-09-30 00:52:23
122,Phuntsholing,26.85,89.39,76.37,68,13,3.74,BT,2020-09-30 00:55:34
123,Vyskov,49.28,17.0,54.0,88,100,7.67,CZ,2020-09-30 00:55:34
124,Abu Samrah,35.3,37.18,72.32,55,0,7.92,SY,2020-09-30 00:55:34
125,Byron Bay,-28.65,153.62,71.01,49,100,9.17,AU,2020-09-30 00:48:09
126,Jibuti,11.5,42.5,87.8,74,75,10.45,DJ,2020-09-30 00:55:35
127,Kununurra,-15.77,128.73,91.4,46,40,4.7,AU,2020-09-30 00:50:00
128,Coquimbo,-29.95,-71.34,53.6,76,0,6.93,CL,2020-09-30 00:48:16
129,Thompson,55.74,-97.86,50.0,76,75,4.7,CA,2020-09-30 00:48:35
130,Upernavik,72.79,-56.15,23.61,87,74,7.63,GL,2020-09-30 00:48:00
131,Kapaa,22.08,-159.32,86.0,66,1,10.29,US,2020-09-30 00:47:50
132,Kruisfontein,-34.0,24.73,45.82,85,0,5.41,ZA,2020-09-30 00:49:24
133,Salinopolis,-0.61,-47.36,80.1,80,12,12.46,BR,2020-09-30 00:55:36
134,Sao Filipe,14.9,-24.5,79.63,74,14,9.46,CV,2020-09-30 00:48:37
135,Acajutla,13.59,-89.83,70.0,100,21,4.52,SV,2020-09-30 00:55:37
136,Ancud,-41.87,-73.82,37.99,93,100,5.82,CL,2020-09-30 00:48:18
137,Grindavik,63.84,-22.43,39.2,86,75,3.36,IS,2020-09-30 00:44:51
138,Verkhnevilyuysk,63.45,120.32,32.76,88,44,6.29,RU,2020-09-30 00:55:37
139,Brookhaven,31.58,-90.44,61.0,76,0,3.18,US,2020-09-30 00:55:38
140,Jalu,29.03,21.55,77.07,56,0,10.92,LY,2020-09-30 00:48:08
141,Deputatskiy,69.3,139.9,38.28,75,95,9.55,RU,2020-09-30 00:55:39
142,Hithadhoo,-0.6,73.08,83.08,73,100,8.79,MV,2020-09-30 00:48:10
143,Kavieng,-2.57,150.8,84.33,69,100,5.88,PG,2020-09-30 00:50:15
144,Avarua,-21.21,-159.78,78.8,78,24,25.28,CK,2020-09-30 00:45:57
145,Mweka,-4.85,21.57,67.19,96,80,0.94,CD,2020-09-30 00:55:39
146,Richards Bay,-28.78,32.04,61.56,85,87,4.92,ZA,2020-09-30 00:49:30
147,New Norfolk,-42.78,147.06,62.01,69,90,1.99,AU,2020-09-30 00:48:10
148,Maningrida,-12.07,134.27,86.16,58,78,12.55,AU,2020-09-30 00:55:40
149,Roald,62.58,6.13,51.8,100,100,6.93,NO,2020-09-30 00:55:40
150,Ambon,-3.7,128.18,77.0,94,40,2.24,ID,2020-09-30 00:49:52
151,Honolulu,21.31,-157.86,89.6,43,20,12.75,US,2020-09-30 00:51:26
152,Kaitangata,-46.28,169.85,42.42,86,100,11.74,NZ,2020-09-30 00:46:49
